order_id,order_date,region,country,customer_segment,product_category,product_name,quantity,unit_price,sales,discount,profit
ORD204623,2021-01-01,North,UK,Consumer,Electronics,Desk,5,1171.17,5855.85,0.01,963.95
ORD213244,2021-01-01,North,Australia,Home Office,Office Supplies,Monitor,6,214.62,1287.72,0.28,-129.88
ORD200353,2021-01-01,East,UK,Corporate,Electronics,Printer,8,664.31,5314.48,0.19,-551.49
ORD204552,2021-01-01,North,Australia,Consumer,Electronics,Monitor,2,595.92,1191.84,0.22,-136.84
ORD210506,2021-01-01,Central,India,Consumer,Furniture,Mobile,9,58.07,522.63,0.26,-49.77
ORD203664,2021-01-01,Central,Germany,Consumer,Electronics,Mobile,6,163.25,979.5,0.06,204.55
ORD207041,2021-01-01,South,India,Corporate,Furniture,Laptop,7,511.49,3580.43,0.01,206.52
ORD206623,2021-01-01,South,USA,Consumer,Electronics,Desk,7,1965.94,13761.58,0.27,-364.3
ORD210235,2021-01-01,West,India,Consumer,Electronics,Printer,6,368.87,2213.22,0.16,-110.92
ORD211357,2021-01-01,South,India,Home Office,Electronics,Chair,4,1229.01,4916.04,0.26,193.03
ORD205486,2021-01-02,North,UK,Consumer,Furniture,Mobile,5,1489.69,7448.45,0.29,-595.87
ORD202230,2021-01-02,East,USA,Home Office,Electronics,Printer,4,1312.25,5249.0,0.03,613.28
ORD211423,2021-01-02,West,India,Home Office,Electronics,Monitor,5,1752.47,8762.35,0.26,-114.17
ORD208276,2021-01-02,West,Germany,Consumer,Furniture,Desk,6,1243.8,7462.8,0.1,698.24
ORD202112,2021-01-02,East,Australia,Corporate,Office Supplies,Desk,9,1116.47,10048.23,0.06,840.61
ORD207732,2021-01-02,South,Australia,Consumer,Furniture,Chair,7,1618.52,11329.64,0.16,-1226.3
ORD200435,2021-01-02,West,Germany,Home Office,Office Supplies,Monitor,3,997.3,2991.9,0.09,602.98
ORD208767,2021-01-03,East,USA,Corporate,Furniture,Laptop,2,436.1,872.2,0.28,-179.55
ORD203652,2021-01-03,South,Germany,Home Office,Electronics,Desk,8,551.25,4410.0,0.21,-382.28
ORD208482,2021-01-03,East,USA,Home Office,Office Supplies,Monitor,3,250.67,752.01,0.18,-26.92
ORD208317,2021-01-03,East,Germany,Corporate,Furniture,Printer,7,1210.79,8475.53,0.12,946.98
